Category: All categories

Month,Left-wing politics: (Worldwide),Right-wing politics: (Worldwide)
2004-01,45,38
2004-02,45,35
2004-03,66,38
2004-04,50,37
2004-05,50,38
2004-06,47,39
2004-07,35,35
2004-08,34,31
2004-09,40,37
2004-10,43,38
2004-11,47,43
2004-12,39,33
2005-01,43,33
2005-02,46,38
2005-03,39,35
2005-04,42,41
2005-05,44,39
2005-06,40,35
2005-07,37,33
2005-08,43,30
2005-09,60,36
2005-10,45,35
2005-11,47,38
2005-12,38,31
2006-01,42,33
2006-02,43,35
2006-03,50,35
2006-04,51,35
2006-05,43,35
2006-06,38,30
2006-07,35,28
2006-08,34,30
2006-09,41,33
2006-10,42,36
2006-11,48,38
2006-12,36,29
2007-01,37,30
2007-02,41,32
2007-03,43,34
2007-04,43,35
2007-05,57,39
2007-06,47,37
2007-07,40,31
2007-08,37,29
2007-09,43,34
2007-10,47,37
2007-11,48,39
2007-12,41,31
2008-01,48,33
2008-02,57,40
2008-03,63,43
2008-04,60,44
2008-05,47,36
2008-06,44,32
2008-07,40,30
2008-08,38,30
2008-09,49,38
2008-10,52,41
2008-11,53,42
2008-12,45,31
2009-01,48,33
2009-02,50,35
2009-03,53,37
2009-04,53,44
2009-05,64,40
2009-06,68,42
2009-07,45,31
2009-08,51,35
2009-09,79,39
2009-10,57,39
2009-11,54,37
2009-12,48,34
2010-01,51,36
2010-02,53,37
2010-03,62,40
2010-04,54,41
2010-05,58,41
2010-06,57,40
2010-07,43,31
2010-08,44,34
2010-09,53,40
2010-10,53,40
2010-11,55,40
2010-12,49,34
2011-01,53,37
2011-02,55,37
2011-03,58,37
2011-04,54,39
2011-05,64,42
2011-06,52,38
2011-07,49,41
2011-08,52,48
2011-09,53,42
2011-10,58,43
2011-11,61,42
2011-12,51,37
2012-01,56,38
2012-02,57,40
2012-03,64,42
2012-04,71,45
2012-05,73,47
2012-06,60,40
2012-07,53,37
2012-08,51,39
2012-09,62,45
2012-10,59,42
2012-11,60,43
2012-12,52,38
2013-01,55,39
2013-02,57,42
2013-03,54,40
2013-04,58,44
2013-05,57,43
2013-06,58,43
2013-07,51,37
2013-08,54,38
2013-09,69,43
2013-10,58,44
2013-11,60,45
2013-12,55,39
2014-01,57,42
2014-02,61,46
2014-03,66,47
2014-04,62,46
2014-05,73,59
2014-06,57,47
2014-07,54,40
2014-08,56,42
2014-09,64,45
2014-10,68,50
2014-11,68,48
2014-12,62,43
2015-01,69,47
2015-02,69,45
2015-03,71,48
2015-04,69,48
2015-05,74,50
2015-06,68,45
2015-07,65,44
2015-08,66,45
2015-09,72,51
2015-10,79,52
2015-11,76,51
2015-12,79,51
2016-01,70,48
2016-02,72,49
2016-03,78,54
2016-04,76,52
2016-05,76,53
2016-06,74,52
2016-07,68,48
2016-08,62,51
2016-09,69,53
2016-10,75,56
2016-11,87,86
2016-12,74,57
2017-01,100,59
2017-02,84,67
2017-03,83,63
2017-04,83,63
2017-05,80,60
2017-06,75,53
2017-07,69,47
2017-08,85,72
2017-09,85,58
2017-10,85,59
2017-11,78,57
2017-12,75,51
2018-01,73,55
2018-02,79,57
2018-03,83,62
2018-04,80,58
2018-05,79,56
2018-06,75,55
2018-07,74,53
2018-08,81,59
2018-09,93,68
2018-10,100,77
2018-11,84,62
2018-12,78,57
2019-01,81,58
2019-02,83,60
2019-03,86,66
2019-04,90,68
2019-05,99,74
2019-06,81,59
