Category: All categories

Month,Left-wing politics: (Japan),Right-wing politics: (Japan)
2004-01,16,18
2004-02,7,23
2004-03,9,24
2004-04,28,30
2004-05,13,22
2004-06,13,23
2004-07,8,20
2004-08,11,26
2004-09,12,22
2004-10,7,20
2004-11,11,26
2004-12,10,25
2005-01,13,25
2005-02,14,27
2005-03,13,28
2005-04,10,30
2005-05,14,34
2005-06,17,29
2005-07,11,24
2005-08,18,32
2005-09,17,31
2005-10,15,26
2005-11,16,26
2005-12,8,18
2006-01,13,22
2006-02,13,25
2006-03,13,20
2006-04,11,20
2006-05,11,26
2006-06,12,21
2006-07,15,23
2006-08,16,44
2006-09,15,34
2006-10,13,26
2006-11,9,25
2006-12,12,22
2007-01,10,21
2007-02,11,27
2007-03,9,22
2007-04,12,30
2007-05,11,24
2007-06,10,24
2007-07,11,23
2007-08,11,21
2007-09,13,19
2007-10,11,21
2007-11,8,19
2007-12,9,18
2008-01,10,24
2008-02,13,31
2008-03,13,28
2008-04,16,35
2008-05,11,24
2008-06,11,22
2008-07,13,25
2008-08,14,26
2008-09,12,24
2008-10,14,20
2008-11,17,26
2008-12,14,20
2009-01,13,20
2009-02,14,24
2009-03,13,29
2009-04,14,28
2009-05,14,23
2009-06,14,19
2009-07,17,22
2009-08,28,40
2009-09,18,25
2009-10,15,20
2009-11,15,21
2009-12,14,24
2010-01,14,23
2010-02,14,21
2010-03,18,23
2010-04,15,22
2010-05,14,21
2010-06,20,25
2010-07,18,23
2010-08,16,26
2010-09,14,26
2010-10,16,25
2010-11,24,25
2010-12,15,23
2011-01,12,20
2011-02,12,19
2011-03,14,19
2011-04,15,21
2011-05,12,20
2011-06,14,20
2011-07,15,25
2011-08,26,100
2011-09,18,34
2011-10,14,23
2011-11,11,22
2011-12,10,18
2012-01,14,20
2012-02,13,21
2012-03,11,19
2012-04,14,23
2012-05,15,25
2012-06,15,21
2012-07,20,22
2012-08,18,39
2012-09,21,38
2012-10,16,27
2012-11,14,23
2012-12,24,31
2013-01,15,23
2013-02,14,26
2013-03,12,18
2013-04,14,24
2013-05,15,26
2013-06,23,25
2013-07,18,23
2013-08,19,29
2013-09,17,23
2013-10,12,21
2013-11,17,26
2013-12,17,24
2014-01,18,27
2014-02,17,26
2014-03,13,22
2014-04,13,22
2014-05,16,23
2014-06,15,21
2014-07,20,21
2014-08,18,24
2014-09,19,24
2014-10,17,23
2014-11,19,22
2014-12,16,21
2015-01,20,22
2015-02,20,23
2015-03,15,20
2015-04,17,21
2015-05,17,22
2015-06,16,21
2015-07,24,23
2015-08,21,24
2015-09,28,26
2015-10,16,19
2015-11,16,18
2015-12,17,20
2016-01,17,21
2016-02,14,22
2016-03,14,19
2016-04,14,17
2016-05,15,21
2016-06,19,20
2016-07,26,24
2016-08,18,25
2016-09,13,16
2016-10,15,16
2016-11,15,20
2016-12,14,18
2017-01,17,19
2017-02,17,28
2017-03,20,32
2017-04,20,23
2017-05,21,22
2017-06,18,18
2017-07,16,17
2017-08,17,20
2017-09,20,20
2017-10,29,25
2017-11,15,17
2017-12,13,14
2018-01,14,17
2018-02,15,21
2018-03,15,19
2018-04,15,18
2018-05,17,19
2018-06,17,18
2018-07,14,14
2018-08,14,18
2018-09,13,17
2018-10,14,17
2018-11,15,20
2018-12,14,16
2019-01,15,16
2019-02,15,19
2019-03,13,15
2019-04,18,25
2019-05,18,25
2019-06,11,16
