Category: All categories

Month,Netto-uyoku: (South Korea),Alt-right: (South Korea)
2009-08,0,0
2009-09,0,0
2009-10,0,0
2009-11,0,0
2009-12,0,0
2010-01,0,0
2010-02,59,0
2010-03,0,0
2010-04,49,0
2010-05,100,0
2010-06,51,0
2010-07,0,44
2010-08,0,0
2010-09,0,0
2010-10,0,0
2010-11,0,0
2010-12,0,0
2011-01,0,0
2011-02,0,0
2011-03,0,0
2011-04,0,19
2011-05,17,0
2011-06,32,16
2011-07,0,0
2011-08,14,0
2011-09,0,0
2011-10,30,0
2011-11,0,11
2011-12,22,0
2012-01,17,0
2012-02,0,0
2012-03,8,0
2012-04,11,0
2012-05,10,0
2012-06,10,0
2012-07,14,0
2012-08,19,0
2012-09,10,0
2012-10,9,0
2012-11,9,0
2012-12,8,0
2013-01,8,0
2013-02,0,0
2013-03,8,0
2013-04,8,0
2013-05,15,0
2013-06,15,0
2013-07,7,0
2013-08,0,0
2013-09,7,0
2013-10,7,7
2013-11,7,0
2013-12,0,0
2014-01,14,0
2014-02,0,0
2014-03,7,13
2014-04,7,7
2014-05,13,7
2014-06,14,0
2014-07,7,7
2014-08,7,0
2014-09,7,0
2014-10,7,0
2014-11,7,0
2014-12,0,0
2015-01,9,0
2015-02,7,0
2015-03,6,0
2015-04,12,0
2015-05,18,6
2015-06,18,0
2015-07,20,0
2015-08,20,6
2015-09,33,0
2015-10,11,0
2015-11,11,0
2015-12,6,6
2016-01,0,5
2016-02,0,6
2016-03,5,0
2016-04,19,0
2016-05,8,0
2016-06,16,11
2016-07,10,5
2016-08,13,8
2016-09,5,14
2016-10,13,13
2016-11,5,59
2016-12,7,25
2017-01,12,10
2017-02,13,15
2017-03,14,9
2017-04,5,19
2017-05,10,14
2017-06,13,18
2017-07,15,5
2017-08,15,31
2017-09,15,10
2017-10,12,20
2017-11,5,9
2017-12,5,18
2018-01,13,19
2018-02,7,12
2018-03,4,13
2018-04,11,25
2018-05,17,17
2018-06,4,4
2018-07,13,15
2018-08,8,12
2018-09,4,11
2018-10,13,9
2018-11,9,13
2018-12,9,18
2019-01,4,15
2019-02,17,31
2019-03,9,11
2019-04,13,20
2019-05,4,40
2019-06,4,13
2019-07,37,19
