Category: All categories

Month,ネット右翼: (Worldwide),ネトウヨ: (Worldwide)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,5,0
2004-05,0,0
2004-06,9,0
2004-07,0,0
2004-08,4,0
2004-09,0,0
2004-10,4,0
2004-11,0,0
2004-12,0,0
2005-01,8,0
2005-02,14,4
2005-03,15,0
2005-04,10,3
2005-05,7,0
2005-06,4,0
2005-07,4,0
2005-08,9,3
2005-09,8,0
2005-10,9,2
2005-11,10,0
2005-12,7,2
2006-01,2,3
2006-02,4,0
2006-03,6,0
2006-04,8,0
2006-05,12,0
2006-06,3,0
2006-07,3,0
2006-08,4,0
2006-09,7,0
2006-10,5,0
2006-11,4,2
2006-12,4,0
2007-01,3,1
2007-02,4,3
2007-03,3,0
2007-04,2,5
2007-05,6,2
2007-06,7,4
2007-07,9,2
2007-08,5,3
2007-09,4,2
2007-10,3,1
2007-11,2,4
2007-12,3,2
2008-01,4,2
2008-02,5,7
2008-03,7,4
2008-04,4,2
2008-05,6,2
2008-06,2,2
2008-07,3,5
2008-08,5,5
2008-09,2,3
2008-10,4,6
2008-11,6,8
2008-12,4,5
2009-01,5,5
2009-02,6,8
2009-03,3,7
2009-04,5,10
2009-05,4,10
2009-06,3,10
2009-07,5,13
2009-08,15,39
2009-09,10,43
2009-10,9,27
2009-11,4,21
2009-12,4,18
2010-01,5,23
2010-02,5,26
2010-03,4,25
2010-04,3,27
2010-05,4,39
2010-06,6,40
2010-07,5,35
2010-08,4,42
2010-09,5,34
2010-10,5,44
2010-11,4,53
2010-12,4,39
2011-01,4,39
2011-02,2,37
2011-03,4,51
2011-04,3,52
2011-05,2,40
2011-06,3,58
2011-07,4,62
2011-08,6,100
2011-09,3,48
2011-10,3,60
2011-11,3,53
2011-12,3,46
2012-01,2,43
2012-02,2,37
2012-03,3,40
2012-04,3,35
2012-05,5,47
2012-06,3,42
2012-07,2,39
2012-08,7,82
2012-09,3,74
2012-10,4,57
2012-11,4,74
2012-12,5,77
2013-01,4,58
2013-02,4,52
2013-03,3,51
2013-04,7,61
2013-05,4,48
2013-06,3,49
2013-07,3,53
2013-08,4,58
2013-09,3,50
2013-10,2,47
2013-11,2,42
2013-12,3,49
2014-01,4,57
2014-02,4,73
2014-03,3,64
2014-04,2,51
2014-05,2,48
2014-06,2,50
2014-07,1,55
2014-08,1,50
2014-09,2,42
2014-10,2,42
2014-11,1,43
2014-12,2,40
2015-01,1,45
2015-02,2,52
2015-03,1,32
2015-04,1,33
2015-05,2,39
2015-06,3,37
2015-07,3,50
2015-08,2,47
2015-09,2,45
2015-10,1,31
2015-11,1,30
2015-12,2,28
2016-01,1,30
2016-02,1,27
2016-03,1,30
2016-04,2,31
2016-05,1,28
2016-06,2,33
2016-07,2,47
2016-08,1,28
2016-09,1,24
2016-10,1,27
2016-11,1,24
2016-12,1,28
2017-01,1,29
2017-02,1,31
2017-03,1,32
2017-04,1,28
2017-05,1,35
2017-06,2,32
2017-07,2,35
2017-08,2,29
2017-09,1,35
2017-10,2,34
2017-11,2,38
2017-12,1,36
2018-01,1,31
2018-02,1,35
2018-03,1,42
2018-04,2,39
2018-05,1,57
2018-06,2,52
2018-07,1,42
2018-08,2,43
2018-09,1,39
2018-10,3,39
2018-11,2,37
2018-12,2,39
2019-01,1,38
2019-02,1,35
2019-03,1,27
2019-04,2,29
2019-05,2,32
2019-06,2,36
