"Date","Google","Yahoo!","bing","Baidu","Ask Jeeves","Naver","Babylon","DuckDuckGo","MSN","Haosou","Conduit","YANDEX RU","Other"
2009-01,73.2,25.46,0,0,0.1,0,0,0,0.6,0,0,0.01,0.64
2009-02,74.24,24.24,0,0,0.12,0.01,0,0,0.65,0,0,0.01,0.74
2009-03,73.94,24.39,0,0.1,0.13,0.02,0,0,0.68,0,0,0.01,0.73
2009-04,76.56,21.72,0,0.11,0.12,0.03,0,0,0.66,0,0,0.01,0.79
2009-05,76.66,21.47,0,0.13,0.2,0.02,0,0,0.65,0,0,0.01,0.87
2009-06,74.97,23.05,1.57,0.13,0.15,0.02,0,0,0.01,0,0,0.01,0.11
2009-07,74.44,23.42,1.7,0.17,0.15,0.02,0,0,0,0,0,0.01,0.1
2009-08,74.57,22.89,2.07,0.17,0.18,0.02,0,0,0,0,0,0.01,0.09
2009-09,76.71,20.97,1.76,0.19,0.24,0.02,0,0,0,0,0,0.01,0.1
2009-10,77.28,20.51,1.66,0.21,0.21,0.02,0,0,0,0,0,0.01,0.1
2009-11,77.48,20.39,1.6,0.2,0.19,0.02,0,0,0,0,0,0.01,0.1
2009-12,78.72,19.1,1.71,0.19,0.17,0.02,0,0,0,0,0,0.01,0.09
2010-01,78.94,18.54,1.71,0.49,0.18,0.05,0,0,0,0,0,0.01,0.09
2010-02,78.47,19.01,1.78,0.42,0.17,0.06,0,0,0,0,0,0.01,0.08
2010-03,77.88,19.55,1.79,0.41,0.18,0.09,0,0,0,0,0,0.01,0.08
2010-04,77.58,19.71,1.88,0.44,0.16,0.11,0,0,0.02,0,0,0.01,0.09
2010-05,78.46,18.78,1.98,0.38,0.17,0.12,0,0,0.02,0,0,0.01,0.09
2010-06,79.27,17.97,1.98,0.36,0.18,0.12,0,0,0.02,0,0,0.01,0.08
2010-07,80.17,16.97,2.14,0.31,0.17,0.12,0,0,0.02,0,0,0.01,0.08
2010-08,81.63,15.82,1.97,0.23,0.16,0.1,0,0,0.02,0,0,0.01,0.07
2010-09,81.72,15.86,1.83,0.23,0.16,0.09,0,0,0.02,0,0,0.01,0.09
2010-10,80.98,16.42,1.99,0.21,0.18,0.11,0,0,0.02,0,0,0.01,0.08
2010-11,78.79,18.83,1.78,0.21,0.16,0.13,0,0,0.02,0,0,0.01,0.07
2010-12,74.33,23.36,1.71,0.22,0.15,0.14,0,0,0.02,0,0,0.01,0.07
2011-01,72.59,25.21,1.71,0.18,0.13,0.11,0,0,0.02,0,0,0.01,0.06
2011-02,72.95,24.86,1.72,0.15,0.12,0.1,0,0,0.02,0,0,0.01,0.07
2011-03,69.97,28.32,1.39,0.11,0.08,0.06,0,0,0.01,0,0,0,0.06
2011-04,68.14,30.08,1.47,0.11,0.08,0.05,0,0,0.01,0,0,0,0.05
2011-05,70.22,27.52,1.82,0.13,0.12,0.1,0,0,0,0,0,0,0.08
2011-06,72.67,24.91,1.94,0.13,0.11,0.12,0,0,0,0,0,0.01,0.11
2011-07,73.12,24.25,2.08,0.14,0.12,0.16,0,0,0,0,0,0,0.12
2011-08,72.19,25.1,2.19,0.12,0.11,0.16,0,0,0,0,0,0.01,0.12
2011-09,71.82,25.31,2.41,0.12,0.07,0.15,0,0,0,0,0,0,0.11
2011-10,71.56,25.35,2.61,0.12,0.07,0.18,0,0,0,0,0,0.01,0.11
2011-11,72.4,25.29,1.92,0.13,0.07,0.09,0,0,0,0,0,0.01,0.09
2011-12,72.04,25.35,2.24,0.14,0.07,0.08,0,0,0,0,0,0.01,0.07
2012-01,72.44,24.98,2.25,0.12,0.07,0.08,0,0,0,0,0,0.01,0.05
2012-02,72.18,25.33,2.25,0.1,0.05,0.03,0,0,0,0,0,0.01,0.05
2012-03,71.46,26.08,2.24,0.09,0.05,0.03,0,0,0,0,0,0.01,0.05
2012-04,70.74,26.88,2.15,0.1,0.05,0.03,0,0,0,0,0,0.01,0.05
2012-05,71.78,26.04,1.97,0.09,0.05,0.03,0,0,0,0,0,0.01,0.04
2012-06,71.52,25.83,2.03,0.1,0.05,0.02,0.28,0,0,0,0.09,0.01,0.08
2012-07,71.24,25.79,1.95,0.15,0.05,0.02,0.51,0,0,0,0.16,0.01,0.1
2012-08,71.39,25.51,2.07,0.17,0.05,0.03,0.52,0,0,0,0.16,0.01,0.1
2012-09,71.49,25.41,2.14,0.19,0.04,0.02,0.45,0,0,0.01,0.14,0.01,0.1
2012-10,71.49,25.32,2.28,0.2,0.04,0.03,0.38,0,0,0.02,0.13,0.01,0.11
2012-11,71.1,25.72,2.31,0.2,0.03,0.03,0.33,0,0,0.01,0.14,0.01,0.12
2012-12,69.67,27.09,2.39,0.21,0.05,0.02,0.28,0,0,0.02,0.14,0.01,0.11
2013-01,69.08,27.7,2.4,0.21,0.05,0.02,0.25,0,0,0.03,0.14,0.01,0.12
2013-02,66.39,29.9,2.84,0.21,0.06,0.02,0.29,0,0,0.03,0.13,0.01,0.12
2013-03,67.06,29.13,3,0.24,0.02,0.02,0.26,0,0,0.03,0.11,0.01,0.11
2013-04,66.85,29.19,3.15,0.28,0.01,0.02,0.24,0,0,0.04,0.1,0.01,0.11
2013-05,67.62,29.05,2.55,0.32,0.01,0.03,0.21,0,0,0.04,0.09,0.01,0.08
2013-06,65.59,31.18,2.44,0.31,0.01,0.03,0.23,0.01,0,0.04,0.08,0.01,0.09
2013-07,64.18,32.56,2.51,0.31,0.01,0.03,0.21,0.01,0,0.03,0.07,0.01,0.09
2013-08,64.96,32.1,2.26,0.26,0.01,0.03,0.21,0.03,0,0.02,0.05,0.01,0.07
2013-09,63.69,33.28,2.4,0.27,0.01,0.03,0.15,0.04,0,0.02,0.04,0.01,0.07
