month,total.anonymous,total.user
2001-01-01T00:00:00.000Z,0,0
2001-02-01T00:00:00.000Z,0,0
2001-03-01T00:00:00.000Z,0,0
2001-04-01T00:00:00.000Z,0,0
2001-05-01T00:00:00.000Z,0,0
2001-06-01T00:00:00.000Z,0,0
2001-07-01T00:00:00.000Z,0,0
2001-08-01T00:00:00.000Z,5,0
2001-09-01T00:00:00.000Z,34,8
2001-10-01T00:00:00.000Z,71,25
2001-11-01T00:00:00.000Z,31,4
2001-12-01T00:00:00.000Z,139,39
2002-01-01T00:00:00.000Z,270,17
2002-02-01T00:00:00.000Z,291,16
2002-03-01T00:00:00.000Z,335,542
2002-04-01T00:00:00.000Z,571,218
2002-05-01T00:00:00.000Z,133,134
2002-06-01T00:00:00.000Z,49,115
2002-07-01T00:00:00.000Z,117,283
2002-08-01T00:00:00.000Z,947,268
2002-09-01T00:00:00.000Z,845,392
2002-10-01T00:00:00.000Z,3841,3102
2002-11-01T00:00:00.000Z,1568,3540
2002-12-01T00:00:00.000Z,1563,3384
2003-01-01T00:00:00.000Z,1045,5070
2003-02-01T00:00:00.000Z,822,4884
2003-03-01T00:00:00.000Z,701,3524
2003-04-01T00:00:00.000Z,922,3570
2003-05-01T00:00:00.000Z,1217,7590
2003-06-01T00:00:00.000Z,3450,9127
2003-07-01T00:00:00.000Z,5133,11567
2003-08-01T00:00:00.000Z,2663,15828
2003-09-01T00:00:00.000Z,3235,10592
2003-10-01T00:00:00.000Z,1913,9617
2003-11-01T00:00:00.000Z,3152,15964
2003-12-01T00:00:00.000Z,2682,18268
2004-01-01T00:00:00.000Z,2705,17506
2004-02-01T00:00:00.000Z,3209,21138
2004-03-01T00:00:00.000Z,5825,31408
2004-04-01T00:00:00.000Z,4358,30307
2004-05-01T00:00:00.000Z,3799,27666
2004-06-01T00:00:00.000Z,9363,31624
2004-07-01T00:00:00.000Z,5245,29876
2004-08-01T00:00:00.000Z,7536,41429
2004-09-01T00:00:00.000Z,8361,45179
2004-10-01T00:00:00.000Z,9941,39046
2004-11-01T00:00:00.000Z,12245,47374
2004-12-01T00:00:00.000Z,11412,52515
2005-01-01T00:00:00.000Z,12037,49437
2005-02-01T00:00:00.000Z,11178,59445
2005-03-01T00:00:00.000Z,12279,75300
2005-04-01T00:00:00.000Z,15492,85140
2005-05-01T00:00:00.000Z,14996,98478
2005-06-01T00:00:00.000Z,14654,102665
2005-07-01T00:00:00.000Z,14890,137534
2005-08-01T00:00:00.000Z,21673,144176
2005-09-01T00:00:00.000Z,16436,130445
2005-10-01T00:00:00.000Z,22930,133252
2005-11-01T00:00:00.000Z,24200,111697
2005-12-01T00:00:00.000Z,33336,172532
2006-01-01T00:00:00.000Z,39561,172606
2006-02-01T00:00:00.000Z,28837,147679
2006-03-01T00:00:00.000Z,31598,162439
2006-04-01T00:00:00.000Z,29873,149802
2006-05-01T00:00:00.000Z,34327,176387
2006-06-01T00:00:00.000Z,33706,195865
2006-07-01T00:00:00.000Z,27563,166271
2006-08-01T00:00:00.000Z,31828,175191
2006-09-01T00:00:00.000Z,35896,165472
2006-10-01T00:00:00.000Z,39096,177785
2006-11-01T00:00:00.000Z,40401,185750
2006-12-01T00:00:00.000Z,38738,188388
2007-01-01T00:00:00.000Z,37134,234747
2007-02-01T00:00:00.000Z,28876,215697
2007-03-01T00:00:00.000Z,33197,203755
2007-04-01T00:00:00.000Z,30060,177685
2007-05-01T00:00:00.000Z,33282,194366
2007-06-01T00:00:00.000Z,30751,193088
2007-07-01T00:00:00.000Z,26440,181712
2007-08-01T00:00:00.000Z,27852,191918
2007-09-01T00:00:00.000Z,32817,194524
2007-10-01T00:00:00.000Z,33747,206516
2007-11-01T00:00:00.000Z,31387,189589
2007-12-01T00:00:00.000Z,30086,194449
2008-01-01T00:00:00.000Z,36312,233251
2008-02-01T00:00:00.000Z,30204,200055
2008-03-01T00:00:00.000Z,32974,212797
2008-04-01T00:00:00.000Z,31947,196469
2008-05-01T00:00:00.000Z,32917,197098
2008-06-01T00:00:00.000Z,27701,205772
2008-07-01T00:00:00.000Z,24385,194855
2008-08-01T00:00:00.000Z,25405,197532
2008-09-01T00:00:00.000Z,27267,169166
2008-10-01T00:00:00.000Z,28901,179257
2008-11-01T00:00:00.000Z,26801,186253
2008-12-01T00:00:00.000Z,26209,188929
2009-01-01T00:00:00.000Z,32136,188678
2009-02-01T00:00:00.000Z,27119,173637
2009-03-01T00:00:00.000Z,32694,193182
2009-04-01T00:00:00.000Z,28102,183557
2009-05-01T00:00:00.000Z,31851,185900
2009-06-01T00:00:00.000Z,28869,185826
2009-07-01T00:00:00.000Z,23688,172088
2009-08-01T00:00:00.000Z,25542,172562
2009-09-01T00:00:00.000Z,25324,169548
2009-10-01T00:00:00.000Z,27859,185172
2009-11-01T00:00:00.000Z,33209,177894
2009-12-01T00:00:00.000Z,32347,171413
2010-01-01T00:00:00.000Z,41579,191994
2010-02-01T00:00:00.000Z,36841,157565
2010-03-01T00:00:00.000Z,41356,177472
2010-04-01T00:00:00.000Z,39028,170082
2010-05-01T00:00:00.000Z,42740,172200
2010-06-01T00:00:00.000Z,34950,147291
2010-07-01T00:00:00.000Z,28586,151577
2010-08-01T00:00:00.000Z,31760,187910
2010-09-01T00:00:00.000Z,30725,165881
2010-10-01T00:00:00.000Z,36144,155156
2010-11-01T00:00:00.000Z,34449,170267
2010-12-01T00:00:00.000Z,30894,167704
2011-01-01T00:00:00.000Z,41732,209969
2011-02-01T00:00:00.000Z,37819,176723
2011-03-01T00:00:00.000Z,36176,186937
2011-04-01T00:00:00.000Z,30671,167193
2011-05-01T00:00:00.000Z,33277,190144
2011-06-01T00:00:00.000Z,32131,191012
2011-07-01T00:00:00.000Z,27141,169567
2011-08-01T00:00:00.000Z,27758,180085
2011-09-01T00:00:00.000Z,25285,161798
2011-10-01T00:00:00.000Z,31542,186913
2011-11-01T00:00:00.000Z,32551,177223
2011-12-01T00:00:00.000Z,28364,194237
2012-01-01T00:00:00.000Z,38026,214676
2012-02-01T00:00:00.000Z,31543,173770
2012-03-01T00:00:00.000Z,32926,169735
2012-04-01T00:00:00.000Z,32573,172179
2012-05-01T00:00:00.000Z,33595,180499
2012-06-01T00:00:00.000Z,30615,166443
2012-07-01T00:00:00.000Z,28822,159163
2012-08-01T00:00:00.000Z,29222,184992
2012-09-01T00:00:00.000Z,26455,166580
2012-10-01T00:00:00.000Z,30842,170510
2012-11-01T00:00:00.000Z,30440,174717
2012-12-01T00:00:00.000Z,29034,176745
2013-01-01T00:00:00.000Z,33387,181987
2013-02-01T00:00:00.000Z,28305,155743
2013-03-01T00:00:00.000Z,32117,211488
2013-04-01T00:00:00.000Z,32015,178196
2013-05-01T00:00:00.000Z,39814,180565
2013-06-01T00:00:00.000Z,37250,183857
2013-07-01T00:00:00.000Z,27819,158513
2013-08-01T00:00:00.000Z,29602,162306
2013-09-01T00:00:00.000Z,29325,159683
2013-10-01T00:00:00.000Z,31366,160366
2013-11-01T00:00:00.000Z,33395,156270
2013-12-01T00:00:00.000Z,30983,180217
2014-01-01T00:00:00.000Z,39292,197131
2014-02-01T00:00:00.000Z,33875,167754
2014-03-01T00:00:00.000Z,34823,173402
2014-04-01T00:00:00.000Z,29331,154187
2014-05-01T00:00:00.000Z,30662,151530
2014-06-01T00:00:00.000Z,26162,165765
2014-07-01T00:00:00.000Z,21496,139338
2014-08-01T00:00:00.000Z,23572,136776
2014-09-01T00:00:00.000Z,21202,140349
2014-10-01T00:00:00.000Z,24753,157302
2014-11-01T00:00:00.000Z,26221,149193
2014-12-01T00:00:00.000Z,25936,161895
2015-01-01T00:00:00.000Z,29016,176346
2015-02-01T00:00:00.000Z,26203,143002
2015-03-01T00:00:00.000Z,30687,158606
2015-04-01T00:00:00.000Z,29611,149602
2015-05-01T00:00:00.000Z,32042,148026
2015-06-01T00:00:00.000Z,31191,132244
2015-07-01T00:00:00.000Z,24117,133366
2015-08-01T00:00:00.000Z,23445,142302
2015-09-01T00:00:00.000Z,24985,146580
2015-10-01T00:00:00.000Z,28555,160841
2015-11-01T00:00:00.000Z,29323,144921
2015-12-01T00:00:00.000Z,27247,155911
2016-01-01T00:00:00.000Z,34166,174905
2016-02-01T00:00:00.000Z,30705,153032
2016-03-01T00:00:00.000Z,28137,161779
2016-04-01T00:00:00.000Z,24279,146307
2016-05-01T00:00:00.000Z,29341,149432
2016-06-01T00:00:00.000Z,28555,138662
2016-07-01T00:00:00.000Z,21011,121483
2016-08-01T00:00:00.000Z,22359,144962
2016-09-01T00:00:00.000Z,21891,129748
2016-10-01T00:00:00.000Z,25631,146128
2016-11-01T00:00:00.000Z,25499,134760
2016-12-01T00:00:00.000Z,24016,153123
2017-01-01T00:00:00.000Z,27730,164561
2017-02-01T00:00:00.000Z,23499,128775
2017-03-01T00:00:00.000Z,25383,132977
2017-04-01T00:00:00.000Z,19900,116896
2017-05-01T00:00:00.000Z,23605,125533
2017-06-01T00:00:00.000Z,23174,128441
2017-07-01T00:00:00.000Z,19761,127742
2017-08-01T00:00:00.000Z,20013,127354
2017-09-01T00:00:00.000Z,21378,114070
2017-10-01T00:00:00.000Z,23743,127793
2017-11-01T00:00:00.000Z,25374,121624
2017-12-01T00:00:00.000Z,25123,130096
2018-01-01T00:00:00.000Z,26969,143093
2018-02-01T00:00:00.000Z,23289,120583
2018-03-01T00:00:00.000Z,26836,134289
2018-04-01T00:00:00.000Z,22170,119967
2018-05-01T00:00:00.000Z,24401,117589
2018-06-01T00:00:00.000Z,21752,119355
2018-07-01T00:00:00.000Z,17783,111395
2018-08-01T00:00:00.000Z,18961,113418
2018-09-01T00:00:00.000Z,19936,119836
2018-10-01T00:00:00.000Z,24203,128572
2018-11-01T00:00:00.000Z,26606,115967
2018-12-01T00:00:00.000Z,24952,139932
2019-01-01T00:00:00.000Z,30531,152122
2019-02-01T00:00:00.000Z,26990,141638
2019-03-01T00:00:00.000Z,28437,160967
2019-04-01T00:00:00.000Z,23928,145560
2019-05-01T00:00:00.000Z,28845,129984
2019-06-01T00:00:00.000Z,26363,126427
