month,total.anonymous,total.user
2001-01-01T00:00:00.000Z,86,240
2001-02-01T00:00:00.000Z,142,639
2001-03-01T00:00:00.000Z,388,1095
2001-04-01T00:00:00.000Z,188,857
2001-05-01T00:00:00.000Z,296,1808
2001-06-01T00:00:00.000Z,385,841
2001-07-01T00:00:00.000Z,768,1488
2001-08-01T00:00:00.000Z,1119,2595
2001-09-01T00:00:00.000Z,2016,4630
2001-10-01T00:00:00.000Z,3306,7652
2001-11-01T00:00:00.000Z,4562,11930
2001-12-01T00:00:00.000Z,7781,16666
2002-01-01T00:00:00.000Z,5833,11471
2002-02-01T00:00:00.000Z,8514,45924
2002-03-01T00:00:00.000Z,7218,17182
2002-04-01T00:00:00.000Z,5722,15115
2002-05-01T00:00:00.000Z,7014,12558
2002-06-01T00:00:00.000Z,8244,21425
2002-07-01T00:00:00.000Z,8847,24894
2002-08-01T00:00:00.000Z,14457,46101
2002-09-01T00:00:00.000Z,16038,68160
2002-10-01T00:00:00.000Z,17616,91994
2002-11-01T00:00:00.000Z,16267,46691
2002-12-01T00:00:00.000Z,17685,49482
2003-01-01T00:00:00.000Z,21118,70710
2003-02-01T00:00:00.000Z,14985,65430
2003-03-01T00:00:00.000Z,18048,69263
2003-04-01T00:00:00.000Z,18932,71379
2003-05-01T00:00:00.000Z,19178,93583
2003-06-01T00:00:00.000Z,20157,91573
2003-07-01T00:00:00.000Z,25864,98409
2003-08-01T00:00:00.000Z,33106,123170
2003-09-01T00:00:00.000Z,31054,109140
2003-10-01T00:00:00.000Z,32289,118569
2003-11-01T00:00:00.000Z,33554,166262
2003-12-01T00:00:00.000Z,36526,179843
2004-01-01T00:00:00.000Z,37348,180344
2004-02-01T00:00:00.000Z,55200,254113
2004-03-01T00:00:00.000Z,78088,361137
2004-04-01T00:00:00.000Z,72295,333684
2004-05-01T00:00:00.000Z,77803,342430
2004-06-01T00:00:00.000Z,85652,476595
2004-07-01T00:00:00.000Z,100920,449610
2004-08-01T00:00:00.000Z,102832,507735
2004-09-01T00:00:00.000Z,133994,535305
2004-10-01T00:00:00.000Z,150939,577391
2004-11-01T00:00:00.000Z,195777,693310
2004-12-01T00:00:00.000Z,206599,679361
2005-01-01T00:00:00.000Z,200226,596631
2005-02-01T00:00:00.000Z,193673,594252
2005-03-01T00:00:00.000Z,243312,773088
2005-04-01T00:00:00.000Z,331150,933145
2005-05-01T00:00:00.000Z,366659,974060
2005-06-01T00:00:00.000Z,403437,1087163
2005-07-01T00:00:00.000Z,490002,1322182
2005-08-01T00:00:00.000Z,536661,1421926
2005-09-01T00:00:00.000Z,523895,1261920
2005-10-01T00:00:00.000Z,696793,1486054
2005-11-01T00:00:00.000Z,746755,1502999
2005-12-01T00:00:00.000Z,896541,2262146
2006-01-01T00:00:00.000Z,978112,2596112
2006-02-01T00:00:00.000Z,903968,2535916
2006-03-01T00:00:00.000Z,1018695,2771098
2006-04-01T00:00:00.000Z,1050102,2716197
2006-05-01T00:00:00.000Z,1236373,3109626
2006-06-01T00:00:00.000Z,1139383,3211588
2006-07-01T00:00:00.000Z,1151517,3353652
2006-08-01T00:00:00.000Z,1243388,3807947
2006-09-01T00:00:00.000Z,1277706,3380028
2006-10-01T00:00:00.000Z,1464379,3596058
2006-11-01T00:00:00.000Z,1538165,3700208
2006-12-01T00:00:00.000Z,1442252,3770938
2007-01-01T00:00:00.000Z,1615556,4148127
2007-02-01T00:00:00.000Z,1598236,3985614
2007-03-01T00:00:00.000Z,1779596,4449142
2007-04-01T00:00:00.000Z,1732706,4397999
2007-05-01T00:00:00.000Z,1750889,4300922
2007-06-01T00:00:00.000Z,1455683,3861672
2007-07-01T00:00:00.000Z,1418485,3984543
2007-08-01T00:00:00.000Z,1386944,3851966
2007-09-01T00:00:00.000Z,1479454,3659936
2007-10-01T00:00:00.000Z,1621872,3794637
2007-11-01T00:00:00.000Z,1469226,3585973
2007-12-01T00:00:00.000Z,1339403,3536831
2008-01-01T00:00:00.000Z,1526102,4051417
2008-02-01T00:00:00.000Z,1512324,3845121
2008-03-01T00:00:00.000Z,1611711,4165627
2008-04-01T00:00:00.000Z,1578006,4022091
2008-05-01T00:00:00.000Z,1555823,3929215
2008-06-01T00:00:00.000Z,1369085,3689498
2008-07-01T00:00:00.000Z,1336390,3794734
2008-08-01T00:00:00.000Z,1346510,3804112
2008-09-01T00:00:00.000Z,1446796,3802243
2008-10-01T00:00:00.000Z,1564417,3889795
2008-11-01T00:00:00.000Z,1390818,3531394
2008-12-01T00:00:00.000Z,1291663,3553446
2009-01-01T00:00:00.000Z,1463750,3799752
2009-02-01T00:00:00.000Z,1429982,3478121
2009-03-01T00:00:00.000Z,1523598,3867803
2009-04-01T00:00:00.000Z,1375496,3575979
2009-05-01T00:00:00.000Z,1377465,3729227
2009-06-01T00:00:00.000Z,1270687,3448581
2009-07-01T00:00:00.000Z,1209316,3398393
2009-08-01T00:00:00.000Z,1207914,3482630
2009-09-01T00:00:00.000Z,1250339,3406176
2009-10-01T00:00:00.000Z,1342580,3472539
2009-11-01T00:00:00.000Z,1287756,3370561
2009-12-01T00:00:00.000Z,1190266,3311640
2010-01-01T00:00:00.000Z,1337428,3515262
2010-02-01T00:00:00.000Z,1286398,3290775
2010-03-01T00:00:00.000Z,1376202,3567782
2010-04-01T00:00:00.000Z,1336714,3404165
2010-05-01T00:00:00.000Z,1308203,3420318
2010-06-01T00:00:00.000Z,1132234,3161631
2010-07-01T00:00:00.000Z,1138944,3225987
2010-08-01T00:00:00.000Z,1154259,3378395
2010-09-01T00:00:00.000Z,1167195,3332628
2010-10-01T00:00:00.000Z,1231947,3355986
2010-11-01T00:00:00.000Z,1161706,3167957
2010-12-01T00:00:00.000Z,1109009,3079581
2011-01-01T00:00:00.000Z,1262547,3458973
2011-02-01T00:00:00.000Z,1061188,3091427
2011-03-01T00:00:00.000Z,1057237,3192321
2011-04-01T00:00:00.000Z,999361,2994826
2011-05-01T00:00:00.000Z,1008084,3051199
2011-06-01T00:00:00.000Z,978879,3012184
2011-07-01T00:00:00.000Z,962132,3101356
2011-08-01T00:00:00.000Z,986520,3161250
2011-09-01T00:00:00.000Z,944742,2983492
2011-10-01T00:00:00.000Z,1010880,3019492
2011-11-01T00:00:00.000Z,1000320,2990517
2011-12-01T00:00:00.000Z,943291,3023456
2012-01-01T00:00:00.000Z,1010248,3191797
2012-02-01T00:00:00.000Z,980369,2997095
2012-03-01T00:00:00.000Z,1003494,3142832
2012-04-01T00:00:00.000Z,971863,3161655
2012-05-01T00:00:00.000Z,984770,3201998
2012-06-01T00:00:00.000Z,891580,2943001
2012-07-01T00:00:00.000Z,922610,3007068
2012-08-01T00:00:00.000Z,937194,3108173
2012-09-01T00:00:00.000Z,893264,2883089
2012-10-01T00:00:00.000Z,972321,3050551
2012-11-01T00:00:00.000Z,923206,2844625
2012-12-01T00:00:00.000Z,879967,2918883
2013-01-01T00:00:00.000Z,961061,3082571
2013-02-01T00:00:00.000Z,872687,2787757
2013-03-01T00:00:00.000Z,927659,2983709
2013-04-01T00:00:00.000Z,917625,3002806
2013-05-01T00:00:00.000Z,996519,2939995
2013-06-01T00:00:00.000Z,902595,2824234
2013-07-01T00:00:00.000Z,815771,2775250
2013-08-01T00:00:00.000Z,756601,2734253
2013-09-01T00:00:00.000Z,757023,2580550
2013-10-01T00:00:00.000Z,876286,2786071
2013-11-01T00:00:00.000Z,840996,2726048
2013-12-01T00:00:00.000Z,825778,3011125
2014-01-01T00:00:00.000Z,914143,2929856
2014-02-01T00:00:00.000Z,808903,2696671
2014-03-01T00:00:00.000Z,888378,2913857
2014-04-01T00:00:00.000Z,819135,2747141
2014-05-01T00:00:00.000Z,784699,2857287
2014-06-01T00:00:00.000Z,715442,2662445
2014-07-01T00:00:00.000Z,697123,2747480
2014-08-01T00:00:00.000Z,733350,2831088
2014-09-01T00:00:00.000Z,709807,2640145
2014-10-01T00:00:00.000Z,756622,2745324
2014-11-01T00:00:00.000Z,735138,2690564
2014-12-01T00:00:00.000Z,727102,2847218
2015-01-01T00:00:00.000Z,788245,3089204
2015-02-01T00:00:00.000Z,724973,2778322
2015-03-01T00:00:00.000Z,792909,3100666
2015-04-01T00:00:00.000Z,832497,2889935
2015-05-01T00:00:00.000Z,868185,2995179
2015-06-01T00:00:00.000Z,846417,2900443
2015-07-01T00:00:00.000Z,885437,3009192
2015-08-01T00:00:00.000Z,884645,3157134
