month,total.anonymous,total.user
2001-01-01T00:00:00.000Z,0,0
2001-02-01T00:00:00.000Z,0,0
2001-03-01T00:00:00.000Z,0,0
2001-04-01T00:00:00.000Z,0,0
2001-05-01T00:00:00.000Z,0,0
2001-06-01T00:00:00.000Z,0,0
2001-07-01T00:00:00.000Z,0,0
2001-08-01T00:00:00.000Z,0,0
2001-09-01T00:00:00.000Z,0,0
2001-10-01T00:00:00.000Z,0,0
2001-11-01T00:00:00.000Z,0,0
2001-12-01T00:00:00.000Z,0,0
2002-01-01T00:00:00.000Z,0,0
2002-02-01T00:00:00.000Z,0,0
2002-03-01T00:00:00.000Z,0,0
2002-04-01T00:00:00.000Z,0,6
2002-05-01T00:00:00.000Z,0,2
2002-06-01T00:00:00.000Z,0,6
2002-07-01T00:00:00.000Z,0,4
2002-08-01T00:00:00.000Z,1,9
2002-09-01T00:00:00.000Z,28,34
2002-10-01T00:00:00.000Z,22,25
2002-11-01T00:00:00.000Z,35,85
2002-12-01T00:00:00.000Z,9,55
2003-01-01T00:00:00.000Z,60,79
2003-02-01T00:00:00.000Z,3827,5978
2003-03-01T00:00:00.000Z,1559,8102
2003-04-01T00:00:00.000Z,1323,5609
2003-05-01T00:00:00.000Z,1336,7550
2003-06-01T00:00:00.000Z,1169,4000
2003-07-01T00:00:00.000Z,1451,5013
2003-08-01T00:00:00.000Z,2352,7104
2003-09-01T00:00:00.000Z,6831,12207
2003-10-01T00:00:00.000Z,5838,13281
2003-11-01T00:00:00.000Z,8491,27662
2003-12-01T00:00:00.000Z,13206,28799
2004-01-01T00:00:00.000Z,13695,35968
2004-02-01T00:00:00.000Z,12425,42927
2004-03-01T00:00:00.000Z,20661,47414
2004-04-01T00:00:00.000Z,21936,37665
2004-05-01T00:00:00.000Z,25761,41634
2004-06-01T00:00:00.000Z,42390,48734
2004-07-01T00:00:00.000Z,37801,52842
2004-08-01T00:00:00.000Z,49911,63150
2004-09-01T00:00:00.000Z,55016,64814
2004-10-01T00:00:00.000Z,51105,65255
2004-11-01T00:00:00.000Z,65701,79726
2004-12-01T00:00:00.000Z,62963,69626
2005-01-01T00:00:00.000Z,58553,69121
2005-02-01T00:00:00.000Z,57028,70931
2005-03-01T00:00:00.000Z,73847,88943
2005-04-01T00:00:00.000Z,72119,81749
2005-05-01T00:00:00.000Z,81619,89046
2005-06-01T00:00:00.000Z,91508,80398
2005-07-01T00:00:00.000Z,102978,83339
2005-08-01T00:00:00.000Z,112225,98475
2005-09-01T00:00:00.000Z,113062,95525
2005-10-01T00:00:00.000Z,133995,124930
2005-11-01T00:00:00.000Z,163768,157242
2005-12-01T00:00:00.000Z,154560,132837
2006-01-01T00:00:00.000Z,179567,142703
2006-02-01T00:00:00.000Z,153639,144343
2006-03-01T00:00:00.000Z,174187,188615
2006-04-01T00:00:00.000Z,176490,180297
2006-05-01T00:00:00.000Z,203088,208411
2006-06-01T00:00:00.000Z,192981,207655
2006-07-01T00:00:00.000Z,202586,225563
2006-08-01T00:00:00.000Z,221109,234359
2006-09-01T00:00:00.000Z,252578,282964
2006-10-01T00:00:00.000Z,262532,263914
2006-11-01T00:00:00.000Z,255036,275341
2006-12-01T00:00:00.000Z,246299,279873
2007-01-01T00:00:00.000Z,223800,306883
2007-02-01T00:00:00.000Z,213322,304149
2007-03-01T00:00:00.000Z,242273,347319
2007-04-01T00:00:00.000Z,211437,320773
2007-05-01T00:00:00.000Z,214540,318433
2007-06-01T00:00:00.000Z,194091,300945
2007-07-01T00:00:00.000Z,197199,301753
2007-08-01T00:00:00.000Z,210512,324931
2007-09-01T00:00:00.000Z,215731,340667
2007-10-01T00:00:00.000Z,213003,352142
2007-11-01T00:00:00.000Z,196518,326685
2007-12-01T00:00:00.000Z,191216,331290
2008-01-01T00:00:00.000Z,209228,320410
2008-02-01T00:00:00.000Z,190805,304474
2008-03-01T00:00:00.000Z,202063,317640
2008-04-01T00:00:00.000Z,175103,268271
2008-05-01T00:00:00.000Z,165546,281473
2008-06-01T00:00:00.000Z,163154,278981
2008-07-01T00:00:00.000Z,164353,259300
2008-08-01T00:00:00.000Z,169561,271973
2008-09-01T00:00:00.000Z,170901,273570
2008-10-01T00:00:00.000Z,180280,292182
2008-11-01T00:00:00.000Z,164444,271055
2008-12-01T00:00:00.000Z,158211,258009
2009-01-01T00:00:00.000Z,170803,247957
2009-02-01T00:00:00.000Z,153980,233784
2009-03-01T00:00:00.000Z,179737,262387
2009-04-01T00:00:00.000Z,171891,232808
2009-05-01T00:00:00.000Z,179640,265024
2009-06-01T00:00:00.000Z,159759,262037
2009-07-01T00:00:00.000Z,163346,256586
2009-08-01T00:00:00.000Z,154957,293038
2009-09-01T00:00:00.000Z,154273,258655
2009-10-01T00:00:00.000Z,171136,258233
2009-11-01T00:00:00.000Z,157282,253007
2009-12-01T00:00:00.000Z,159087,240761
2010-01-01T00:00:00.000Z,161634,261552
2010-02-01T00:00:00.000Z,146338,237445
2010-03-01T00:00:00.000Z,176935,272300
2010-04-01T00:00:00.000Z,169128,256555
2010-05-01T00:00:00.000Z,159429,260624
2010-06-01T00:00:00.000Z,138409,239559
2010-07-01T00:00:00.000Z,135552,244289
2010-08-01T00:00:00.000Z,144086,243556
2010-09-01T00:00:00.000Z,143361,232408
2010-10-01T00:00:00.000Z,153066,242455
2010-11-01T00:00:00.000Z,141410,228884
2010-12-01T00:00:00.000Z,143328,235395
2011-01-01T00:00:00.000Z,149129,227608
2011-02-01T00:00:00.000Z,135555,211574
2011-03-01T00:00:00.000Z,122850,203773
2011-04-01T00:00:00.000Z,123935,200465
2011-05-01T00:00:00.000Z,123868,207483
2011-06-01T00:00:00.000Z,113646,188651
2011-07-01T00:00:00.000Z,107235,198321
2011-08-01T00:00:00.000Z,105167,211666
2011-09-01T00:00:00.000Z,105983,219018
2011-10-01T00:00:00.000Z,114908,216953
2011-11-01T00:00:00.000Z,104447,207614
2011-12-01T00:00:00.000Z,103700,201350
2012-01-01T00:00:00.000Z,110785,222653
2012-02-01T00:00:00.000Z,102087,220394
2012-03-01T00:00:00.000Z,114865,229414
2012-04-01T00:00:00.000Z,114153,215104
2012-05-01T00:00:00.000Z,107368,217599
2012-06-01T00:00:00.000Z,102640,207569
2012-07-01T00:00:00.000Z,107767,216941
2012-08-01T00:00:00.000Z,101053,212199
2012-09-01T00:00:00.000Z,101211,212175
2012-10-01T00:00:00.000Z,101651,229046
2012-11-01T00:00:00.000Z,91079,213304
2012-12-01T00:00:00.000Z,100020,221048
2013-01-01T00:00:00.000Z,100467,231956
2013-02-01T00:00:00.000Z,94272,214341
2013-03-01T00:00:00.000Z,110018,229979
2013-04-01T00:00:00.000Z,98893,226035
2013-05-01T00:00:00.000Z,95514,213344
2013-06-01T00:00:00.000Z,92683,203319
2013-07-01T00:00:00.000Z,96716,197150
2013-08-01T00:00:00.000Z,90346,196226
2013-09-01T00:00:00.000Z,88804,192257
2013-10-01T00:00:00.000Z,93964,208502
2013-11-01T00:00:00.000Z,85773,205478
2013-12-01T00:00:00.000Z,78887,205236
2014-01-01T00:00:00.000Z,83865,227431
2014-02-01T00:00:00.000Z,78981,208825
2014-03-01T00:00:00.000Z,91222,236479
2014-04-01T00:00:00.000Z,83907,216583
2014-05-01T00:00:00.000Z,79520,209681
2014-06-01T00:00:00.000Z,74354,206916
2014-07-01T00:00:00.000Z,78712,214561
2014-08-01T00:00:00.000Z,76887,197491
2014-09-01T00:00:00.000Z,78037,195671
2014-10-01T00:00:00.000Z,81209,210439
2014-11-01T00:00:00.000Z,78107,187930
2014-12-01T00:00:00.000Z,79675,198551
2015-01-01T00:00:00.000Z,88981,218313
2015-02-01T00:00:00.000Z,73604,193168
2015-03-01T00:00:00.000Z,88849,239053
2015-04-01T00:00:00.000Z,83340,223689
2015-05-01T00:00:00.000Z,76342,233361
2015-06-01T00:00:00.000Z,75412,214785
2015-07-01T00:00:00.000Z,88793,226742
2015-08-01T00:00:00.000Z,89437,219654
2015-09-01T00:00:00.000Z,91811,219843
2015-10-01T00:00:00.000Z,99940,237718
2015-11-01T00:00:00.000Z,95266,244430
2015-12-01T00:00:00.000Z,99054,239217
2016-01-01T00:00:00.000Z,113404,243572
2016-02-01T00:00:00.000Z,106260,221695
2016-03-01T00:00:00.000Z,107335,250237
2016-04-01T00:00:00.000Z,106014,246607
2016-05-01T00:00:00.000Z,100004,244277
2016-06-01T00:00:00.000Z,92380,229072
2016-07-01T00:00:00.000Z,101306,221271
2016-08-01T00:00:00.000Z,97061,233329
2016-09-01T00:00:00.000Z,92375,228151
2016-10-01T00:00:00.000Z,96283,254197
2016-11-01T00:00:00.000Z,95204,238934
2016-12-01T00:00:00.000Z,89840,243921
2017-01-01T00:00:00.000Z,94410,246913
2017-02-01T00:00:00.000Z,84564,237667
2017-03-01T00:00:00.000Z,89761,280906
2017-04-01T00:00:00.000Z,89120,276249
2017-05-01T00:00:00.000Z,91062,248262
2017-06-01T00:00:00.000Z,90440,227873
2017-07-01T00:00:00.000Z,88757,243304
2017-08-01T00:00:00.000Z,88436,250711
2017-09-01T00:00:00.000Z,85665,247806
2017-10-01T00:00:00.000Z,88242,259426
2017-11-01T00:00:00.000Z,81999,232236
2017-12-01T00:00:00.000Z,82086,247154
2018-01-01T00:00:00.000Z,95622,266858
2018-02-01T00:00:00.000Z,83324,243634
2018-03-01T00:00:00.000Z,98374,266684
2018-04-01T00:00:00.000Z,95173,257461
2018-05-01T00:00:00.000Z,89835,242349
2018-06-01T00:00:00.000Z,87709,218842
2018-07-01T00:00:00.000Z,91621,233984
2018-08-01T00:00:00.000Z,96178,242554
2018-09-01T00:00:00.000Z,90169,239070
2018-10-01T00:00:00.000Z,89010,255278
2018-11-01T00:00:00.000Z,84619,233796
2018-12-01T00:00:00.000Z,90405,237775
2019-01-01T00:00:00.000Z,90424,249692
2019-02-01T00:00:00.000Z,85150,231972
2019-03-01T00:00:00.000Z,104536,266135
2019-04-01T00:00:00.000Z,106264,251818
2019-05-01T00:00:00.000Z,107660,251293
2019-06-01T00:00:00.000Z,98577,248286
