month,total.anonymous,total.user
2001-01-01T00:00:00.000Z,530,240
2001-02-01T00:00:00.000Z,1431,639
2001-03-01T00:00:00.000Z,2839,1112
2001-04-01T00:00:00.000Z,1826,865
2001-05-01T00:00:00.000Z,3966,1842
2001-06-01T00:00:00.000Z,2406,1093
2001-07-01T00:00:00.000Z,3980,1880
2001-08-01T00:00:00.000Z,6688,2773
2001-09-01T00:00:00.000Z,11902,5072
2001-10-01T00:00:00.000Z,19139,8171
2001-11-01T00:00:00.000Z,25391,12763
2001-12-01T00:00:00.000Z,30287,17357
2002-01-01T00:00:00.000Z,7020,12979
2002-02-01T00:00:00.000Z,10403,48630
2002-03-01T00:00:00.000Z,8557,20019
2002-04-01T00:00:00.000Z,7137,18629
2002-05-01T00:00:00.000Z,8530,17766
2002-06-01T00:00:00.000Z,9642,24811
2002-07-01T00:00:00.000Z,10685,32887
2002-08-01T00:00:00.000Z,23081,56350
2002-09-01T00:00:00.000Z,20372,83619
2002-10-01T00:00:00.000Z,31970,108856
2002-11-01T00:00:00.000Z,38747,70748
2002-12-01T00:00:00.000Z,28934,78367
2003-01-01T00:00:00.000Z,32982,106078
2003-02-01T00:00:00.000Z,31734,114075
2003-03-01T00:00:00.000Z,33603,115542
2003-04-01T00:00:00.000Z,33615,113301
2003-05-01T00:00:00.000Z,39636,163699
2003-06-01T00:00:00.000Z,41890,168127
2003-07-01T00:00:00.000Z,52413,187768
2003-08-01T00:00:00.000Z,59258,235006
2003-09-01T00:00:00.000Z,65424,217722
2003-10-01T00:00:00.000Z,67886,238279
2003-11-01T00:00:00.000Z,83312,346998
2003-12-01T00:00:00.000Z,89925,385196
2004-01-01T00:00:00.000Z,97394,387423
2004-02-01T00:00:00.000Z,126055,551642
2004-03-01T00:00:00.000Z,218850,823160
2004-04-01T00:00:00.000Z,183497,748819
2004-05-01T00:00:00.000Z,183276,761169
2004-06-01T00:00:00.000Z,274834,999638
2004-07-01T00:00:00.000Z,259987,1069090
2004-08-01T00:00:00.000Z,287149,1182012
2004-09-01T00:00:00.000Z,353022,1292480
2004-10-01T00:00:00.000Z,376075,1329509
2004-11-01T00:00:00.000Z,467978,1547901
2004-12-01T00:00:00.000Z,470031,1522743
2005-01-01T00:00:00.000Z,472700,1496690
2005-02-01T00:00:00.000Z,444887,1480994
2005-03-01T00:00:00.000Z,540667,1822899
2005-04-01T00:00:00.000Z,710630,2158352
2005-05-01T00:00:00.000Z,780867,2363326
2005-06-01T00:00:00.000Z,870842,2572210
2005-07-01T00:00:00.000Z,984085,2992221
2005-08-01T00:00:00.000Z,1125309,3268075
2005-09-01T00:00:00.000Z,1044335,2903695
2005-10-01T00:00:00.000Z,1348034,3359007
2005-11-01T00:00:00.000Z,1425125,3358045
2005-12-01T00:00:00.000Z,1695318,4625167
2006-01-01T00:00:00.000Z,1964624,5378552
2006-02-01T00:00:00.000Z,1721905,5042520
2006-03-01T00:00:00.000Z,1936947,5689317
2006-04-01T00:00:00.000Z,1938542,5579459
2006-05-01T00:00:00.000Z,2281463,6362829
2006-06-01T00:00:00.000Z,2141843,6476350
2006-07-01T00:00:00.000Z,2141876,6692502
2006-08-01T00:00:00.000Z,2356997,7555659
2006-09-01T00:00:00.000Z,2442672,6978140
2006-10-01T00:00:00.000Z,2723920,7341673
2006-11-01T00:00:00.000Z,2886363,7594519
2006-12-01T00:00:00.000Z,2691499,7719606
2007-01-01T00:00:00.000Z,2979458,8384923
2007-02-01T00:00:00.000Z,2862038,8080126
2007-03-01T00:00:00.000Z,3202983,9026751
2007-04-01T00:00:00.000Z,3063688,8826840
2007-05-01T00:00:00.000Z,3197073,9135350
2007-06-01T00:00:00.000Z,2740351,8403689
2007-07-01T00:00:00.000Z,2658767,8480500
2007-08-01T00:00:00.000Z,2667006,8387935
2007-09-01T00:00:00.000Z,2790903,8187742
2007-10-01T00:00:00.000Z,3007372,8548328
2007-11-01T00:00:00.000Z,2796208,8052729
2007-12-01T00:00:00.000Z,2604487,8014194
2008-01-01T00:00:00.000Z,3005914,9126705
2008-02-01T00:00:00.000Z,2906767,8697700
2008-03-01T00:00:00.000Z,3074725,9194137
2008-04-01T00:00:00.000Z,2959247,8642817
2008-05-01T00:00:00.000Z,2940295,8819156
2008-06-01T00:00:00.000Z,2605602,8410366
2008-07-01T00:00:00.000Z,2553043,8686863
2008-08-01T00:00:00.000Z,2587430,8754193
2008-09-01T00:00:00.000Z,2672234,8504995
2008-10-01T00:00:00.000Z,2864311,8723678
2008-11-01T00:00:00.000Z,2614725,8147045
2008-12-01T00:00:00.000Z,2466707,8343280
2009-01-01T00:00:00.000Z,2818496,8950110
2009-02-01T00:00:00.000Z,2713135,8103625
2009-03-01T00:00:00.000Z,2960713,8941513
2009-04-01T00:00:00.000Z,2697639,8318676
2009-05-01T00:00:00.000Z,2776001,8700705
2009-06-01T00:00:00.000Z,2624676,8348197
2009-07-01T00:00:00.000Z,2494008,8284744
2009-08-01T00:00:00.000Z,2534543,8450280
2009-09-01T00:00:00.000Z,2585490,8175441
2009-10-01T00:00:00.000Z,2763906,8454000
2009-11-01T00:00:00.000Z,2652765,8239301
2009-12-01T00:00:00.000Z,2483772,8083620
2010-01-01T00:00:00.000Z,2836207,8853887
2010-02-01T00:00:00.000Z,2656412,8133305
2010-03-01T00:00:00.000Z,2886504,8889221
2010-04-01T00:00:00.000Z,2773559,8451907
2010-05-01T00:00:00.000Z,2806564,8678717
2010-06-01T00:00:00.000Z,2440049,8079075
2010-07-01T00:00:00.000Z,2354927,8032657
2010-08-01T00:00:00.000Z,2443972,8524156
2010-09-01T00:00:00.000Z,2473065,8307664
2010-10-01T00:00:00.000Z,2583477,8285174
2010-11-01T00:00:00.000Z,2528059,7985747
2010-12-01T00:00:00.000Z,2426044,7941778
2011-01-01T00:00:00.000Z,2771528,8972329
2011-02-01T00:00:00.000Z,2434888,8049695
2011-03-01T00:00:00.000Z,2466195,8324721
2011-04-01T00:00:00.000Z,2301976,7785002
2011-05-01T00:00:00.000Z,2368602,7904948
2011-06-01T00:00:00.000Z,2301292,7974531
2011-07-01T00:00:00.000Z,2241156,8205177
2011-08-01T00:00:00.000Z,2280748,8354676
2011-09-01T00:00:00.000Z,2194492,7990182
2011-10-01T00:00:00.000Z,2315382,7975795
2011-11-01T00:00:00.000Z,2334206,7901105
2011-12-01T00:00:00.000Z,2241141,8101766
2012-01-01T00:00:00.000Z,2431722,8741383
2012-02-01T00:00:00.000Z,2295880,8083771
2012-03-01T00:00:00.000Z,2371659,8391252
2012-04-01T00:00:00.000Z,2278590,8194502
2012-05-01T00:00:00.000Z,2366059,8382492
2012-06-01T00:00:00.000Z,2155300,7928122
2012-07-01T00:00:00.000Z,2185375,8184521
2012-08-01T00:00:00.000Z,2209123,8331839
2012-09-01T00:00:00.000Z,2108989,7729397
2012-10-01T00:00:00.000Z,2250357,8058898
2012-11-01T00:00:00.000Z,2172877,7722833
2012-12-01T00:00:00.000Z,2107531,7973399
2013-01-01T00:00:00.000Z,2311119,8651122
2013-02-01T00:00:00.000Z,2089611,7711510
2013-03-01T00:00:00.000Z,2245699,8216240
2013-04-01T00:00:00.000Z,2226014,7935117
2013-05-01T00:00:00.000Z,2426592,8053504
2013-06-01T00:00:00.000Z,2244753,7643835
2013-07-01T00:00:00.000Z,2067666,7588092
2013-08-01T00:00:00.000Z,1860034,7912056
2013-09-01T00:00:00.000Z,1829260,7618464
2013-10-01T00:00:00.000Z,1995224,7326313
2013-11-01T00:00:00.000Z,1961888,7168734
2013-12-01T00:00:00.000Z,1914517,7976897
2014-01-01T00:00:00.000Z,2145800,8211304
2014-02-01T00:00:00.000Z,1924157,7265194
2014-03-01T00:00:00.000Z,2104152,7862288
2014-04-01T00:00:00.000Z,1957979,7608510
2014-05-01T00:00:00.000Z,1934424,7463965
2014-06-01T00:00:00.000Z,1746252,7400716
2014-07-01T00:00:00.000Z,1716847,7860987
2014-08-01T00:00:00.000Z,1758614,7922825
2014-09-01T00:00:00.000Z,1700794,7026851
2014-10-01T00:00:00.000Z,1797470,7371207
2014-11-01T00:00:00.000Z,1788360,7101855
2014-12-01T00:00:00.000Z,1790450,7604037
2015-01-01T00:00:00.000Z,1944458,8522518
2015-02-01T00:00:00.000Z,1763735,7622344
2015-03-01T00:00:00.000Z,1916336,8635505
2015-04-01T00:00:00.000Z,1999753,8752707
2015-05-01T00:00:00.000Z,2066225,7849624
2015-06-01T00:00:00.000Z,2009435,7701809
2015-07-01T00:00:00.000Z,2040606,8058369
2015-08-01T00:00:00.000Z,2068627,8358892
2015-09-01T00:00:00.000Z,2032109,8211724
2015-10-01T00:00:00.000Z,2125368,8367962
2015-11-01T00:00:00.000Z,2091266,8532923
2015-12-01T00:00:00.000Z,2009071,8132823
2016-01-01T00:00:00.000Z,2280763,9143241
2016-02-01T00:00:00.000Z,2121044,11196808
2016-03-01T00:00:00.000Z,2129833,9378615
2016-04-01T00:00:00.000Z,2043178,9842754
2016-05-01T00:00:00.000Z,2096210,10309626
2016-06-01T00:00:00.000Z,1961452,9617880
2016-07-01T00:00:00.000Z,1904577,12412444
2016-08-01T00:00:00.000Z,1980441,11676868
2016-09-01T00:00:00.000Z,1921545,10728495
2016-10-01T00:00:00.000Z,2033761,8249847
2016-11-01T00:00:00.000Z,2011841,8320404
2016-12-01T00:00:00.000Z,1963998,8411932
2017-01-01T00:00:00.000Z,2146115,8939303
2017-02-01T00:00:00.000Z,1939723,8093526
2017-03-01T00:00:00.000Z,2118012,8829341
2017-04-01T00:00:00.000Z,1900371,8414406
2017-05-01T00:00:00.000Z,1977215,8258809
2017-06-01T00:00:00.000Z,1854739,8068661
2017-07-01T00:00:00.000Z,1858812,8152599
2017-08-01T00:00:00.000Z,1889644,8329906
2017-09-01T00:00:00.000Z,1816323,7914669
2017-10-01T00:00:00.000Z,1972944,8402297
2017-11-01T00:00:00.000Z,1928673,8308454
2017-12-01T00:00:00.000Z,1852606,8159963
2018-01-01T00:00:00.000Z,2066388,9149211
2018-02-01T00:00:00.000Z,1818486,8293459
2018-03-01T00:00:00.000Z,1989221,9173266
2018-04-01T00:00:00.000Z,1871277,8456489
2018-05-01T00:00:00.000Z,1921058,8757298
2018-06-01T00:00:00.000Z,1791638,7754243
2018-07-01T00:00:00.000Z,1760551,7992118
2018-08-01T00:00:00.000Z,1824942,8336927
2018-09-01T00:00:00.000Z,1748553,7896731
2018-10-01T00:00:00.000Z,1910059,8373278
2018-11-01T00:00:00.000Z,1880551,8210628
2018-12-01T00:00:00.000Z,1837917,8431706
2019-01-01T00:00:00.000Z,2018863,9159090
2019-02-01T00:00:00.000Z,1795507,8297198
2019-03-01T00:00:00.000Z,1975556,8836070
2019-04-01T00:00:00.000Z,1895905,8253433
2019-05-01T00:00:00.000Z,1966149,8688677
2019-06-01T00:00:00.000Z,1819356,8082563
