
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
ONE PIECEの登場人物一覧/log||3864||3864||12||12||0.003105590062111801||0.003105590062111801
舞-乙HiME/log20120619||3786||3786||0||0||0.0||0.0
ONE PIECE/log||3330||3330||16||16||0.004804804804804805||0.004804804804804805
BLEACH/log20080419||3009||3009||12||12||0.003988035892323031||0.003988035892323031
銀魂/log20081129||2694||2694||5||5||0.001855976243504083||0.001855976243504083
ケロロ軍曹||2692||2692||6||6||0.002228826151560178||0.002228826151560178
クレヨンしんちゃん||2353||2353||5||5||0.0021249468763280916||0.0021249468763280916
森田一義アワー 笑っていいとも!/log20130117||2329||2329||7||7||0.0030055817947617003||0.0030055817947617003
NARUTO -ナルト-||2215||2215||14||14||0.006320541760722348||0.006320541760722348
笑点/log20110201||2093||2093||4||4||0.0019111323459149545||0.0019111323459149545
キン肉マンの登場人物||2070||2070||4||4||0.001932367149758454||0.001932367149758454
2006年||2068||2068||5||5||0.0024177949709864605||0.0024177949709864605
DEATH NOTE||2065||2065||17||17||0.008232445520581114||0.008232445520581114
ミュージックステーション/log20120615||2055||2055||3||3||0.00145985401459854||0.00145985401459854
2005年||2034||2034||4||4||0.0019665683382497543||0.0019665683382497543
D.Gray-man||2009||2009||4||4||0.001991040318566451||0.001991040318566451
アイシールド21||2008||2008||7||7||0.0034860557768924302||0.0034860557768924302
ローゼンメイデン/history 20130917||1989||1989||24||24||0.012066365007541479||0.012066365007541479
広島県出身の人物一覧||1950||1950||0||0||0.0||0.0
轟轟戦隊ボウケンジャー||1929||1929||6||6||0.003110419906687403||0.003110419906687403
ドラえもん||1925||1925||16||16||0.008311688311688312||0.008311688311688312
FNS27時間テレビ||1910||1910||1||1||5.235602094240838E-4||5.235602094240838E-4
クイズ世界はSHOW by ショーバイ!!||1898||1898||3||3||0.0015806111696522655||0.0015806111696522655
DEATH NOTEの登場人物||1891||1891||3||3||0.0015864621893178213||0.0015864621893178213
めちゃ×2イケてるッ!||1886||1886||4||4||0.0021208907741251328||0.0021208907741251328
ナインティナインのオールナイトニッポン||1851||1851||5||5||0.002701242571582928||0.002701242571582928
仙台市||1835||1835||11||11||0.005994550408719346||0.005994550408719346
第二次世界大戦/log20120619||1817||1817||13||13||0.007154650522839846||0.007154650522839846
ケロロ軍曹の登場人物一覧/log20090210||1813||1813||4||4||0.002206287920573635||0.002206287920573635
ウルトラマンメビウス/log20100825||1810||1810||7||7||0.0038674033149171273||0.0038674033149171273
デジモン一覧||1770||1770||3||3||0.001694915254237288||0.001694915254237288
国鉄103系電車||1764||1764||7||7||0.003968253968253968||0.003968253968253968
銀魂の登場人物一覧/log20080904||1752||1752||1||1||5.707762557077625E-4||5.707762557077625E-4
BLEACHの登場人物||1737||1737||4||4||0.002302820955670697||0.002302820955670697
モーニング娘。||1733||1733||10||10||0.005770340450086555||0.005770340450086555
